Episode,Outcome,Avg_Performance,SmartMovePlayer1
256,None,0.30,0.30
257,2,0.30,0.30
258,2,0.34,0.30
259,2,0.34,0.30
260,2,0.36,0.30
261,2,0.36,0.30
262,2,0.40,0.30
263,2,0.40,0.30
264,2,0.42,0.30
265,2,0.44,0.30
266,2,0.44,0.30
267,2,0.44,0.30
268,2,0.46,0.30
269,2,0.46,0.30
270,2,0.46,0.30
271,None,0.46,0.30
272,2,0.50,0.30
Increment at Episode 273: SmartMovePlayer1 increased to 0.40
273,2,0.54,0.40
274,2,1.00,0.40
275,None,0.50,0.40
276,1,0.00,0.40
277,2,0.25,0.40
278,1,0.00,0.40
279,2,0.17,0.40
280,2,0.29,0.40
281,2,0.38,0.40
282,2,0.44,0.40
283,2,0.50,0.40
284,None,0.45,0.40
285,2,0.50,0.40
286,None,0.46,0.40
287,2,0.50,0.40
288,2,0.53,0.40
289,2,0.56,0.40
290,2,0.59,0.40
291,2,0.61,0.40
292,2,0.63,0.40
293,1,0.55,0.40
294,2,0.57,0.40
295,2,0.59,0.40
296,2,0.61,0.40
297,2,0.62,0.40
298,2,0.64,0.40
299,2,0.65,0.40
300,2,0.67,0.40
301,2,0.68,0.40
302,2,0.69,0.40
303,2,0.70,0.40
304,2,0.71,0.40
305,2,0.72,0.40
306,None,0.70,0.40
307,None,0.68,0.40
308,1,0.63,0.40
309,2,0.64,0.40
310,None,0.62,0.40
311,2,0.63,0.40
312,2,0.64,0.40
313,None,0.62,0.40
314,2,0.63,0.40
315,None,0.62,0.40
316,2,0.63,0.40
317,2,0.64,0.40
318,2,0.64,0.40
319,None,0.63,0.40
320,2,0.64,0.40
321,2,0.65,0.40
322,None,0.63,0.40
Increment at Episode 323: SmartMovePlayer1 increased to 0.50
323,None,0.62,0.50
324,None,0.00,0.50
325,2,0.50,0.50
326,2,0.67,0.50
327,None,0.50,0.50
328,None,0.40,0.50
329,2,0.50,0.50
330,None,0.43,0.50
331,2,0.50,0.50
332,1,0.33,0.50
333,1,0.20,0.50
334,None,0.18,0.50
335,1,0.08,0.50
336,2,0.15,0.50
337,None,0.14,0.50
338,1,0.07,0.50
339,1,0.00,0.50
340,None,0.00,0.50
341,2,0.06,0.50
342,2,0.11,0.50
343,2,0.15,0.50
344,2,0.19,0.50
345,2,0.23,0.50
346,1,0.17,0.50
347,2,0.21,0.50
348,None,0.20,0.50
349,1,0.15,0.50
350,2,0.19,0.50
351,2,0.21,0.50
352,2,0.24,0.50
353,None,0.23,0.50
354,1,0.19,0.50
355,1,0.16,0.50
356,None,0.15,0.50
357,2,0.18,0.50
358,2,0.20,0.50
359,2,0.22,0.50
360,2,0.24,0.50
361,None,0.24,0.50
362,1,0.21,0.50
363,2,0.23,0.50
364,2,0.24,0.50
365,2,0.26,0.50
366,2,0.28,0.50
367,2,0.30,0.50
368,None,0.29,0.50
369,1,0.26,0.50
370,2,0.28,0.50
371,1,0.25,0.50
372,2,0.27,0.50
373,2,0.28,0.50
374,2,0.30,0.50
375,1,0.26,0.50
376,2,0.26,0.50
377,2,0.28,0.50
378,2,0.30,0.50
379,2,0.30,0.50
380,None,0.30,0.50
381,2,0.30,0.50
382,2,0.34,0.50
383,2,0.38,0.50
384,2,0.40,0.50
385,1,0.40,0.50
386,None,0.38,0.50
387,2,0.40,0.50
388,2,0.44,0.50
389,1,0.44,0.50
