Episode,Outcome,Avg_Performance,SmartMovePlayer1
252,2,0.54,0.50
253,2,1.00,0.50
254,2,1.00,0.50
255,1,0.33,0.50
256,None,0.25,0.50
257,2,0.40,0.50
258,2,0.50,0.50
259,2,0.57,0.50
260,None,0.50,0.50
261,2,0.56,0.50
262,None,0.50,0.50
263,2,0.55,0.50
264,2,0.58,0.50
265,2,0.62,0.50
266,2,0.64,0.50
267,None,0.60,0.50
268,2,0.62,0.50
269,1,0.53,0.50
270,2,0.56,0.50
271,1,0.47,0.50
272,2,0.50,0.50
273,2,0.52,0.50
274,1,0.45,0.50
275,2,0.48,0.50
276,2,0.50,0.50
277,2,0.52,0.50
278,1,0.46,0.50
279,2,0.48,0.50
280,2,0.50,0.50
281,2,0.52,0.50
282,2,0.53,0.50
283,2,0.55,0.50
284,2,0.56,0.50
285,2,0.58,0.50
286,None,0.56,0.50
287,2,0.57,0.50
288,None,0.56,0.50
289,1,0.51,0.50
290,2,0.53,0.50
291,2,0.54,0.50
292,1,0.50,0.50
293,2,0.51,0.50
294,2,0.52,0.50
295,2,0.53,0.50
296,2,0.55,0.50
297,2,0.56,0.50
298,2,0.57,0.50
299,2,0.57,0.50
300,2,0.58,0.50
301,1,0.55,0.50
Increment at Episode 302: SmartMovePlayer1 increased to 0.60
302,None,0.54,0.60
303,1,-1.00,0.60
304,2,0.00,0.60
305,1,-0.33,0.60
306,2,0.00,0.60
307,2,0.20,0.60
308,2,0.33,0.60
309,2,0.43,0.60
310,1,0.25,0.60
311,2,0.33,0.60
312,2,0.40,0.60
313,1,0.27,0.60
314,2,0.33,0.60
315,1,0.23,0.60
316,1,0.14,0.60
317,2,0.20,0.60
318,None,0.19,0.60
319,2,0.24,0.60
320,1,0.17,0.60
321,None,0.16,0.60
322,2,0.20,0.60
323,2,0.24,0.60
324,2,0.27,0.60
325,None,0.26,0.60
326,2,0.29,0.60
327,2,0.32,0.60
328,2,0.35,0.60
329,None,0.33,0.60
330,2,0.36,0.60
331,2,0.38,0.60
332,None,0.37,0.60
333,2,0.39,0.60
334,2,0.41,0.60
335,2,0.42,0.60
336,None,0.41,0.60
337,2,0.43,0.60
338,None,0.42,0.60
339,2,0.43,0.60
340,2,0.45,0.60
341,2,0.46,0.60
342,1,0.42,0.60
343,1,0.39,0.60
344,2,0.40,0.60
345,1,0.37,0.60
346,None,0.36,0.60
347,2,0.38,0.60
348,2,0.39,0.60
349,None,0.38,0.60
350,1,0.35,0.60
351,2,0.37,0.60
352,None,0.36,0.60
353,None,0.38,0.60
354,1,0.34,0.60
355,2,0.38,0.60
356,None,0.36,0.60
357,None,0.34,0.60
358,None,0.32,0.60
359,None,0.30,0.60
360,2,0.34,0.60
361,None,0.32,0.60
362,2,0.32,0.60
363,2,0.36,0.60
364,2,0.36,0.60
365,2,0.40,0.60
366,2,0.44,0.60
367,None,0.42,0.60
368,None,0.42,0.60
369,2,0.42,0.60
370,1,0.42,0.60
371,2,0.44,0.60
372,2,0.44,0.60
373,None,0.42,0.60
374,2,0.42,0.60
375,None,0.42,0.60
376,1,0.38,0.60
377,2,0.38,0.60
378,2,0.38,0.60
379,None,0.38,0.60
380,2,0.38,0.60
381,2,0.38,0.60
382,2,0.40,0.60
383,2,0.40,0.60
384,2,0.40,0.60
385,2,0.40,0.60
386,2,0.42,0.60
387,1,0.38,0.60
388,1,0.36,0.60
389,1,0.32,0.60
390,1,0.28,0.60
391,2,0.28,0.60
392,None,0.30,0.60
393,1,0.30,0.60
394,None,0.28,0.60
395,2,0.32,0.60
396,2,0.34,0.60
397,2,0.34,0.60
398,1,0.30,0.60
399,2,0.32,0.60
400,2,0.36,0.60
401,2,0.36,0.60
402,1,0.34,0.60
403,1,0.32,0.60
404,1,0.32,0.60
405,2,0.32,0.60
406,1,0.30,0.60
407,1,0.28,0.60
408,2,0.30,0.60
409,1,0.28,0.60
410,1,0.24,0.60
411,1,0.22,0.60
412,1,0.18,0.60
413,1,0.14,0.60
414,1,0.10,0.60
415,1,0.06,0.60
416,2,0.06,0.60
417,2,0.08,0.60
418,1,0.06,0.60
419,2,0.06,0.60
420,2,0.10,0.60
421,1,0.06,0.60
422,1,0.02,0.60
423,2,0.04,0.60
424,1,0.00,0.60
425,1,-0.02,0.60
426,1,-0.02,0.60
427,2,-0.02,0.60
428,None,-0.04,0.60
429,2,-0.02,0.60
430,2,-0.02,0.60
431,2,-0.02,0.60
432,2,-0.02,0.60
433,1,-0.06,0.60
434,2,-0.06,0.60
435,1,-0.10,0.60
436,1,-0.14,0.60
437,1,-0.14,0.60
438,2,-0.10,0.60
439,2,-0.06,0.60
440,2,-0.02,0.60
441,1,-0.06,0.60
442,1,-0.08,0.60
443,1,-0.08,0.60
444,1,-0.10,0.60
445,2,-0.10,0.60
