Episode,Outcome,Avg_Performance,SmartMovePlayer1
0,2,1.00,0.00
1,2,1.00,0.00
2,2,1.00,0.00
3,None,0.75,0.00
4,2,0.80,0.00
5,None,0.67,0.00
6,2,0.71,0.00
7,None,0.62,0.00
8,2,0.67,0.00
9,1,0.50,0.00
10,2,0.55,0.00
11,2,0.58,0.00
12,2,0.62,0.00
13,2,0.64,0.00
14,2,0.67,0.00
15,2,0.69,0.00
16,2,0.71,0.00
17,None,0.67,0.00
18,2,0.68,0.00
19,None,0.65,0.00
20,1,0.57,0.00
21,1,0.50,0.00
22,2,0.52,0.00
23,2,0.54,0.00
24,2,0.56,0.00
25,2,0.58,0.00
26,2,0.59,0.00
27,2,0.61,0.00
28,2,0.62,0.00
29,None,0.60,0.00
30,2,0.61,0.00
31,1,0.56,0.00
32,2,0.58,0.00
33,2,0.59,0.00
34,2,0.60,0.00
35,2,0.61,0.00
36,None,0.59,0.00
37,2,0.61,0.00
38,2,0.62,0.00
39,2,0.62,0.00
40,2,0.63,0.00
41,2,0.64,0.00
42,2,0.65,0.00
43,2,0.66,0.00
44,2,0.67,0.00
45,2,0.67,0.00
46,2,0.68,0.00
47,2,0.69,0.00
48,2,0.69,0.00
Increment at Episode 49: SmartMovePlayer1 increased to 0.10
49,2,0.70,0.10
50,2,1.00,0.10
51,2,1.00,0.10
52,2,1.00,0.10
53,2,1.00,0.10
54,None,0.80,0.10
55,2,0.83,0.10
56,2,0.86,0.10
57,2,0.88,0.10
58,2,0.89,0.10
59,2,0.90,0.10
60,1,0.73,0.10
61,2,0.75,0.10
62,None,0.69,0.10
63,2,0.71,0.10
64,None,0.67,0.10
65,2,0.69,0.10
66,2,0.71,0.10
67,2,0.72,0.10
68,2,0.74,0.10
69,2,0.75,0.10
70,1,0.67,0.10
71,2,0.68,0.10
72,2,0.70,0.10
73,None,0.67,0.10
74,1,0.60,0.10
75,1,0.54,0.10
76,2,0.56,0.10
77,1,0.50,0.10
78,2,0.52,0.10
79,2,0.53,0.10
80,2,0.55,0.10
81,2,0.56,0.10
82,2,0.58,0.10
83,2,0.59,0.10
84,1,0.54,0.10
85,2,0.56,0.10
86,2,0.57,0.10
87,2,0.58,0.10
88,2,0.59,0.10
89,1,0.55,0.10
90,2,0.56,0.10
91,2,0.57,0.10
92,2,0.58,0.10
93,2,0.59,0.10
94,None,0.58,0.10
95,None,0.57,0.10
96,2,0.57,0.10
97,2,0.58,0.10
98,2,0.59,0.10
Increment at Episode 99: SmartMovePlayer1 increased to 0.20
99,2,0.60,0.20
100,2,1.00,0.20
101,None,0.50,0.20
102,2,0.67,0.20
103,2,0.75,0.20
104,1,0.40,0.20
105,2,0.50,0.20
106,2,0.57,0.20
107,None,0.50,0.20
108,2,0.56,0.20
109,1,0.40,0.20
110,2,0.45,0.20
111,None,0.42,0.20
112,None,0.38,0.20
113,2,0.43,0.20
114,2,0.47,0.20
115,2,0.50,0.20
116,2,0.53,0.20
117,2,0.56,0.20
118,2,0.58,0.20
119,None,0.55,0.20
120,None,0.52,0.20
121,2,0.55,0.20
122,None,0.52,0.20
123,1,0.46,0.20
124,2,0.48,0.20
125,2,0.50,0.20
126,None,0.48,0.20
127,2,0.50,0.20
128,None,0.48,0.20
129,None,0.47,0.20
130,2,0.48,0.20
131,2,0.50,0.20
132,None,0.48,0.20
133,2,0.50,0.20
134,2,0.51,0.20
135,None,0.50,0.20
136,None,0.49,0.20
137,2,0.50,0.20
138,2,0.51,0.20
139,1,0.47,0.20
140,2,0.49,0.20
141,2,0.50,0.20
142,1,0.47,0.20
143,None,0.45,0.20
144,2,0.47,0.20
145,2,0.48,0.20
146,2,0.49,0.20
147,None,0.48,0.20
148,2,0.49,0.20
149,1,0.46,0.20
150,2,0.46,0.20
151,2,0.48,0.20
152,2,0.48,0.20
153,2,0.48,0.20
Increment at Episode 154: SmartMovePlayer1 increased to 0.30
154,2,0.52,0.30
155,1,-1.00,0.30
156,2,0.00,0.30
157,2,0.33,0.30
158,1,0.00,0.30
159,2,0.20,0.30
160,2,0.33,0.30
161,None,0.29,0.30
162,2,0.38,0.30
163,1,0.22,0.30
164,2,0.30,0.30
165,2,0.36,0.30
166,2,0.42,0.30
167,None,0.38,0.30
168,2,0.43,0.30
169,None,0.40,0.30
170,2,0.44,0.30
171,None,0.41,0.30
172,2,0.44,0.30
173,2,0.47,0.30
174,None,0.45,0.30
175,1,0.38,0.30
176,1,0.32,0.30
177,2,0.35,0.30
178,1,0.29,0.30
179,2,0.32,0.30
180,2,0.35,0.30
181,2,0.37,0.30
182,1,0.32,0.30
183,2,0.34,0.30
184,2,0.37,0.30
185,1,0.32,0.30
186,1,0.28,0.30
187,1,0.24,0.30
188,2,0.26,0.30
189,2,0.29,0.30
190,None,0.28,0.30
191,2,0.30,0.30
192,1,0.26,0.30
193,2,0.28,0.30
194,None,0.28,0.30
195,2,0.29,0.30
196,2,0.31,0.30
197,1,0.28,0.30
198,None,0.27,0.30
199,None,0.27,0.30
200,2,0.28,0.30
201,2,0.30,0.30
202,2,0.31,0.30
203,1,0.29,0.30
204,2,0.30,0.30
205,2,0.34,0.30
206,None,0.32,0.30
207,None,0.30,0.30
208,2,0.34,0.30
209,None,0.32,0.30
210,1,0.28,0.30
211,2,0.30,0.30
212,2,0.30,0.30
213,2,0.34,0.30
214,2,0.34,0.30
215,None,0.32,0.30
216,2,0.32,0.30
217,2,0.34,0.30
218,2,0.34,0.30
